libID	sampleID	barcode	CellType	Responder	Stimulation	number	project	replicate	replicate2
lib9796	S33277	928616-2	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54_11	1	1
lib9798	S33279	928616-4	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54_11	2	1
lib9800	S33281	928616-6	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54_11	3	1
lib9802	S33283	928616-8	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	550	P54_11	4	1
lib9804	S33285	928616-10	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_11	1	2
lib9806	S33287	928616-12	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_11	2	2
lib9795	S33276	928616-1	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_11	1	3
lib9797	S33278	928616-3	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_11	2	3
lib9799	S33280	928616-5	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_11	3	3
lib9801	S33282	928616-7	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_11	4	3
lib9803	S33284	928616-9	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_11	5	3
lib9805	S33286	928616-11	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_11	1	4
lib9807	S33288	928616-13	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_11	2	4
lib9808	S33289	928616-14	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_11	3	4
lib9809	S33290	928616-15	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_11	4	4
lib9811	S33348	930954-2	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54_13	1	5
lib9813	S33350	930954-4	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54_13	2	5
lib9815	S33352	930954-9	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_13	1	6
lib9817	S33354	930954-11	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28+PVR-fc	500	P54_13	2	6
lib9810	S33347	930954-1	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_13	1	7
lib9812	S33349	930954-3	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_13	2	7
lib9814	S33351	930954-5	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_13	3	7
lib9816	S33353	930954-6	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_13	4	7
lib9818	S33355	930954-7	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_13	5	7
lib9819	S33356	930954-8	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_13	1	8
lib9820	S33357	930954-10	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_13	2	8
lib9821	S33358	930954-12	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_13	3	8
lib9822	S33359	930954-13	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_13	4	8
lib9823	S33360	930954-14	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54_13	5	8
lib9825	S33410	927495-2	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54_15	1	9
lib9827	S33412	927495-4	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54_15	2	9
lib9829	S33414	927495-6	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54_15	3	9
lib9831	S33416	927495-8	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54_15	4	9
lib9833	S33418	927495-10	CD8+CD45R0+TIGIT-KLRG1-	no	anti-CD3anti-CD28	1000	P54_15	5	9
lib9835	S33420	927495-12	CD8+CD45R0+TIGIT-KLRG1-	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	1	10
lib9837	S33422	927495-14	CD8+CD45R0+TIGIT-KLRG1-	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	2	10
lib9839	S33424	927495-16	CD8+CD45R0+TIGIT-KLRG1-	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	3	10
lib9841	S33426	927495-18	CD8+CD45R0+TIGIT-KLRG1-	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	4	10
lib9843	S33428	927495-20	CD8+CD45R0+TIGIT-KLRG1-	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	5	10
lib9824	S33409	927495-1	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_15	1	11
lib9826	S33411	927495-3	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_15	2	11
lib9828	S33413	927495-5	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_15	3	11
lib9830	S33415	927495-7	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_15	4	11
lib9832	S33417	927495-9	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54_15	5	11
lib9834	S33419	927495-11	CD8+CD45R0+TIGIT+KLRG1+	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	1	12
lib9836	S33421	927495-13	CD8+CD45R0+TIGIT+KLRG1+	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	2	12
lib9838	S33423	927495-15	CD8+CD45R0+TIGIT+KLRG1+	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	3	12
lib9840	S33425	927495-17	CD8+CD45R0+TIGIT+KLRG1+	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	4	12
lib9842	S33427	927495-19	CD8+CD45R0+TIGIT+KLRG1+	no	anti-CD3anti-CD28+PVR-fc	1000	P54_15	5	12
lib9298	S32685	927496-17	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54-6_9	1	13
lib9299	S32686	927496-18	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54-6_9	2	13
lib9310	S32697	927496-29	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	650	P54-6_9	3	13
lib9311	S32698	927496-30	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	650	P54-6_9	4	13
lib9313	S32723	927496-33	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	1000	P54-6_9	5	13
lib9315	S32725	927496-35	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28	450	P54-6_9	6	13
lib9305	S32692	927496-24	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28+PVR-fc	1000	P54-6_9	7	14
lib9306	S32693	927496-25	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28+PVR-fc	1000	P54-6_9	8	14
lib9318	S32728	927496-38	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28+PVR-fc	1000	P54-6_9	9	14
lib9321	S32731	927496-41	CD8+CD45R0+TIGIT-KLRG1-	yes	anti-CD3anti-CD28+PVR-fc	1000	P54-6_9	10	14
lib9290	S32677	927496-8	CD8+CD45R0+TIGIT-KLRG1-	yes	none	1000	P54-6_9	11	15
lib9291	S32678	927496-9	CD8+CD45R0+TIGIT-KLRG1-	yes	none	1000	P54-6_9	12	15
lib9294	S32681	927496-12	CD8+CD45R0+TIGIT-KLRG1-	yes	none	1000	P54-6_9	13	15
lib9295	S32682	927496-13	CD8+CD45R0+TIGIT-KLRG1-	yes	none	1000	P54-6_9	14	15
lib9296	S32683	927496-15	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54-6_9	15	16
lib9297	S32684	927496-16	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54-6_9	16	16
lib9300	S32687	927496-19	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54-6_9	17	16
lib9301	S32688	927496-20	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54-6_9	18	16
lib9302	S32689	927496-21	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54-6_9	19	16
lib9312	S32722	927496-32	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54-6_9	20	16
lib9314	S32724	927496-34	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54-6_9	21	16
lib9316	S32726	927496-36	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28	1000	P54-6_9	22	16
lib9303	S32690	927496-22	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54-6_9	23	17
lib9304	S32691	927496-23	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54-6_9	24	17
lib9307	S32694	927496-26	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54-6_9	25	17
lib9308	S32695	927496-27	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54-6_9	26	17
lib9309	S32696	927496-28	CD8+CD45R0+TIGIT+KLRG1+	yes	anti-CD3anti-CD28+PVR-fc	1000	P54-6_9	27	17
