logFC	AveExpr	t	P.Value	adj.P.Val	B
PYCR1	-7.66534563526134	3.24274465103962	-54.1681938239458	6.17392078394253e-14	1.00227430006523e-09	20.7255954530826
MAMLD1	-6.10127531225673	2.37395797483895	-26.87848078237	7.71994426684443e-11	3.82384911508805e-07	14.6693442450388
HPDL	-6.64158930404044	2.67406513467442	-25.7978336476418	1.16894971606795e-10	3.82384911508805e-07	14.6571352657833
ZNF485	-6.02237519314078	2.32993604196397	-26.0724222871419	1.05033045652354e-10	3.82384911508805e-07	14.3957051037304
CDC20	-6.37256695825146	2.52441122917169	-25.0799389762481	1.55452520310163e-10	3.82384911508805e-07	14.2637788483702
RASD2	7.17234829743613	2.12783478511435	24.2471244384334	2.1857552514592e-10	3.82384911508805e-07	14.2611175285837
CXCL13	-7.1582833514865	2.96131506432467	-23.0896332108502	3.57845254430803e-10	5.28114532766332e-07	13.9074780311634
SPINT1	-6.01716374939015	2.32759309532846	-24.3195996075907	2.12093502281256e-10	3.82384911508805e-07	13.8666883218006
PYCRL	-6.12182464040083	2.38559812307387	-24.0680141260778	2.35545713631148e-10	3.82384911508805e-07	13.8362422658954
LIF	-6.73827655027466	2.72684115566375	-22.3250767782223	5.02193905921485e-10	5.43369313908511e-07	13.4944413819882
IL9	-6.57885022044969	2.63959790367428	-22.4347824562923	4.78032421409212e-10	5.43369313908511e-07	13.4575572674057
SLC29A1	-7.96762198372518	3.6691640004526	-22.774623111342	4.10919346081854e-10	5.43369313908511e-07	13.3163897155292
KLF4	5.56145841049122	1.4108122211996	24.8721066042704	1.69075776777008e-10	3.82384911508805e-07	13.2270722864265
DNAJB1	2.08823586568514	8.42422039393397	21.1854633718633	8.50175006780323e-10	7.66763392226209e-07	13.1945165884652
GNG4	-6.85896069316934	3.14494998131827	-22.1828261663035	5.35537084054218e-10	5.43369313908511e-07	12.6866182889389
CSF2	-8.41356515057994	4.24338458015268	-24.2423366155486	2.1901132002355e-10	3.82384911508805e-07	12.6686388821517
HMGB1P17	-5.28392722658513	1.91982380554441	-22.4935492040486	4.65615883356806e-10	5.43369313908511e-07	12.6477272971671
IL21-AS1	-6.75264267441911	2.97967516961524	-19.9722619996818	1.53549976913222e-09	1.18701444057583e-06	12.1865469792445
TRIM47	-5.36056837457796	1.96227739202332	-20.8645432362273	9.90890824379353e-10	8.04306082148721e-07	12.1805994676571
RBM39	1.94925506033731	9.24353955186952	19.33731167987	2.12138307929371e-09	1.56538785951155e-06	12.171846384452
TIMD4	-4.9086657153344	1.71139736438284	-21.2803169357526	8.12891992670444e-10	7.66763392226209e-07	12.0590204855171
TNFAIP8	-2.81834291097674	7.49210306531462	-18.7844549666761	2.83437600451115e-09	1.88663118593552e-06	11.9479923363725
IFRD1	2.11162013906469	7.71497682331198	18.2475064486896	3.78514788883035e-09	2.27585521582488e-06	11.718647097311
PTGIS	-5.64571688266634	2.12012721878672	-18.655519926134	3.03605814295191e-09	1.89566799587236e-06	11.5361321978487
