logFC	AveExpr	t	P.Value	adj.P.Val	B
TSC22D3	1.80694347645513	7.47591354012919	11.7510129091788	1.33149167699969e-14	2.09696624210681e-10	23.0122941869994
ARID5A	-1.04781169962175	7.66919520981312	-8.47505533088617	1.69530599452982e-10	1.33496870539251e-06	13.8986285558321
BATF3	-1.88795352323735	6.5492824572426	-7.71121997432327	1.84868618628757e-09	9.70498624928097e-06	11.5583880106314
KLF2	2.56439560130672	5.09243242758684	7.57826486306018	2.81831908101848e-09	1.109642680174e-05	10.7939750209656
PARP8	0.742394206171573	7.68299342636331	7.38834602498605	5.16076903000113e-09	1.62553902906976e-05	10.5526365409376
NUB1	0.699570683393863	7.39054053374652	7.3268427889438	6.28152800169772e-09	1.64879640831229e-05	10.3782149756878
SOCS1	-0.984938853285835	6.42819342951839	-7.12540597610747	1.19801380109524e-08	2.69535990763557e-05	9.77516489058155
IRF4	-1.37508592755885	9.05241777126607	-6.99276496054638	1.83549012027952e-08	3.61339173803527e-05	9.30705005429705
TTC39C	0.662208936678095	7.1284990210408	6.81993990813722	3.20525945977828e-08	4.82952334763198e-05	8.80242313437428
GPR155	1.30727911560731	6.41653162773273	6.80413178118599	3.37321460562269e-08	4.82952334763198e-05	8.78113796011744
STK38	0.750943889124722	7.74406708952029	6.7316707233113	4.26367949311877e-08	5.59572402809396e-05	8.48235461618231
LRRC8B	-1.0085361760491	6.71510587511266	-6.60987073036823	6.32460667572066e-08	7.66201773353267e-05	8.17056008071768
PDE3B	1.03001361879713	7.61537241444484	6.53341488182599	8.10327501089833e-08	8.51689107182266e-05	7.86835247244026
ZNF652	1.26674791647914	5.65858595581086	6.51051087445465	8.72810617433927e-08	8.51689107182266e-05	7.8468910583901
LIMA1	-0.772065891054102	7.3372945532622	-6.50667481177549	8.83738363147028e-08	8.51689107182266e-05	7.80537579345652
HSPH1	-0.690162867361612	8.63574095622766	-6.49449868311714	9.19341851679377e-08	8.51689107182266e-05	7.69596025027997
SOCS3	-1.33607862812323	5.29493108264934	-6.40054692486229	1.24708928495806e-07	0.000103370574467392	7.45928817454907
FAM40B	-2.60920119488658	2.96809276690689	-6.81700122039758	3.23583313843843e-08	4.82952334763198e-05	7.43017384526067
MTSS1	1.37785524985448	4.89333784088324	6.41235395747139	1.20019075905813e-07	0.000103370574467392	7.39944292894755
TNIP3	-1.08329894431592	7.95548459137258	-6.31406826470778	1.65147149532723e-07	0.000130045122899542	7.15347522279254
MYBL1	1.525443876061	5.73716526086791	6.1383889658036	2.92298532454472e-07	0.000209245890346613	6.71267034997537
TCF7	1.16069980206687	7.20031240800748	6.11936094731571	3.10950298598734e-07	0.000212919837070933	6.597674832305
CD274	-1.98962930185014	6.05051491072394	-6.00650450701522	4.48777954746762e-07	0.000293856900055399	6.31096863628301
ANKRD26	1.15762487739044	5.48462333421149	5.98914263997694	4.74835844640213e-07	0.000293856900055399	6.24672755389017
FOSL2	-0.985472316575591	6.51811679923334	-5.98254625741761	4.85127906625206e-07	0.000293856900055399	6.21652920496723
DZIP3	1.37136732488775	5.52735577365965	5.95945542892243	5.22943525081823e-07	0.000303092680388887	6.15628288948622
DPEP2	3.27052469157126	2.83515176305035	6.26160790633787	1.95837188769127e-07	0.000146868565996427	6.10655182540632
SCD	-1.89585256974624	5.80113865134843	-5.9318769284457	5.71986990009276e-07	0.000310628382953658	6.07541463845086
EML4	0.700430405866288	8.34449511611652	5.9502284289538	5.38865645494243e-07	0.000303092680388887	5.96881098765822
SATB1	-0.708887171717341	9.12202245281255	-5.83991851766993	7.712038515818e-07	0.000403836548577368	5.63112820729734
PTPN22	0.640891411810715	7.99531419073622	5.83060205537955	7.9490335931795e-07	0.000403836548577368	5.61234178367315
EVL	0.762720718195961	7.0473072471322	5.79245700779133	8.99761220887749e-07	0.000429404226295793	5.57219120989755
TPM4	-0.853430265517738	6.93245132740965	-5.7624101916753	9.91985701486967e-07	0.000434376460825614	5.49160778281494
ARHGAP9	0.776019191349225	7.13900763624178	5.76211918549955	9.92923524650587e-07	0.000434376460825614	5.46963038774336
ZMYM1	1.53943217961433	4.49634920425687	5.77304394254465	9.58315786907761e-07	0.000434376460825614	5.43940176735558
DHCR24	-1.30655902620333	6.67072708628196	-5.73274731613574	1.09227507854308e-06	0.000456570900227675	5.42850624174653
PTPN1	-0.704324552850121	7.39403245130177	-5.73011812540268	1.10163783152274e-06	0.000456570900227675	5.34466647096926
SMAD2	-0.49363052412667	8.2964487789592	-5.67247179606086	1.3282794031991e-06	0.000536386469768783	5.08591628345015
IL21-AS1	-4.37899608358476	3.73673126290196	-5.80538819114681	8.62752463211176e-07	0.000424609016972275	5.0575443434034
SCML4	0.911000704305678	5.99057753642076	5.58581147030055	1.75929226264591e-06	0.000675782776692937	5.01106658929217
ZBED2	-1.67278184520678	8.14429534722803	-5.60929707549812	1.63032651801004e-06	0.000641900308303505	4.92066060397623
ARRDC3	1.19829417377072	5.756841195548	5.53414697591599	2.07986448161347e-06	0.000719932589884657	4.86338093034235
IL16	1.2293562947291	6.66985034566766	5.54655412364925	1.99793715555884e-06	0.000719932589884657	4.84226480458352
BAZ2B	1.0394913018662	5.95938267973325	5.52464137545123	2.14488717994269e-06	0.000719932589884657	4.82662519170341
MLLT3	0.78689792160379	6.84023228677037	5.53567687571487	2.06958415578166e-06	0.000719932589884657	4.78467519077094
TMEM80	1.26231782205777	4.71485004971099	5.52412070562071	2.14850668134986e-06	0.000719932589884657	4.75432996850943
NCS1	-1.70662713123626	5.78473455095675	-5.48435107767826	2.44371182820048e-06	0.000769720351646587	4.71224794276837
PPP2R5C	0.60024374620988	8.80779715259528	5.52562506653038	2.13806548485092e-06	0.000719932589884657	4.61600091989297
BATF	-0.850360453877031	7.56233698043662	-5.49590916833954	2.35398548874514e-06	0.00075659015229076	4.58861631985488
HMGCS1	-0.912326013992982	6.61124635798608	-5.40775540981863	3.13063515276138e-06	0.000858347622783296	4.41841960680864
NMRK1	0.65557094127233	6.53924253936016	5.40475886053204	3.16109988706782e-06	0.000858347622783296	4.40667138019806
IL7R	0.645458504818851	9.35793393213072	5.43974793713893	2.82302786365012e-06	0.000852681150793446	4.38620533573407
SGPL1	-0.580777169972574	7.18315088915576	-5.41304314748315	3.07758707837142e-06	0.000858347622783296	4.3615908557705
LPAR6	1.04609347952047	4.99329163489454	5.36420691012045	3.60354656070287e-06	0.000961902623466262	4.33132285533485
VMP1	-0.555597961693078	8.14021888628884	-5.4160057049927	3.04825747313447e-06	0.000858347622783296	4.28710223286167
BTN3A3	0.820936803168982	7.16853609794696	5.3494464699307	3.77943250912393e-06	0.000992038043103213	4.17237285119003
LRIG1	0.856795948252182	5.68703342526829	5.29425533824988	4.51601400051267e-06	0.00114714039506571	4.1347722868625
FAM184A	-2.2179946107192	3.56194625696315	-5.41505685904488	3.057620763235e-06	0.000858347622783296	4.06196636174456
ANKZF1	0.996834223340175	6.23054963659341	5.26565159212076	4.95215602791338e-06	0.00123796040132711	4.00785168236368
ST8SIA4	-0.935624981141937	7.63678815175497	-5.31184576983948	4.26696819876936e-06	0.00110164724856424	4.00345274496374
GALR2	-2.48387696940068	1.52500749883973	-5.50397794367704	2.29329754089766e-06	0.000752440478574943	3.89373007343173
IGLV3-12	2.57429508449636	1.1481473113068	5.43469617973362	2.86952193739619e-06	0.000852681150793446	3.79366797304251
LINC00402	2.43468161904403	1.97685287932618	5.45281518895873	2.70620901594824e-06	0.000835687956709192	3.79024387194918
PITRM1	-0.791290679051278	7.1908137758419	-5.21907239110032	5.75355218906741e-06	0.00139404143731727	3.76596486516381
IL13	-2.59344495122875	5.46756885510151	-5.1664840652982	6.81378177865449e-06	0.00160292791368932	3.74005129845915
ITPRIPL2	-1.7026821591599	3.63373951143827	-5.26046480827254	5.03560662745141e-06	0.00123915263712082	3.67962173621794
RNF166	1.34685805585609	5.27001924722826	5.11845582354535	7.95020976818269e-06	0.00178732870134258	3.60989935004863
RRS1	-0.895567586826972	5.38929097989671	-5.10920401208084	8.18978460230124e-06	0.00178732870134258	3.58145340453647
POP1	-0.871705592155337	5.69311598299164	-5.10369891375158	8.33571862414162e-06	0.00178732870134258	3.56056781081315
SYNE1	1.42267057875044	7.85758661293137	5.1616249290682	6.92101708875953e-06	0.00160292791368932	3.52194793032948
RABGAP1L	0.751694330671188	8.07504046512603	5.16509710544648	6.84422120198956e-06	0.00160292791368932	3.50954309759329
FRMD4B	-1.49392032038438	6.82813795934547	-5.11330697261223	8.08266866937131e-06	0.00178732870134258	3.50202498924699
CNPY4	1.21044120477964	5.06656071246822	5.05839541395864	9.63869645187012e-06	0.00194615167205772	3.42794901517871
FAM118A	1.06286152467396	5.95664154326855	5.04268504074849	1.0136096648927e-05	0.00197078254474015	3.35579763404628
PIK3CG	-0.777249854692989	6.720704051259	-5.06634726178803	9.3962265795925e-06	0.00192183340781821	3.34766659951167
P2RY10	1.1515744891022	6.28665336669471	5.04929979853688	9.92364550056085e-06	0.00195516965121431	3.33900503522222
NR3C1	0.637715035157536	8.52641296351032	5.10137323672305	8.39814108193222e-06	0.00178732870134258	3.27904258329003
BTN3A1	0.935814145830393	7.53433452441404	5.07680514194975	9.08651565239857e-06	0.00190804713346167	3.27731600271947
