logFC	AveExpr	t	P.Value	adj.P.Val	B
TIGIT	3.83084054387429	8.298536714697	20.6334762989956	1.40733454844953e-18	2.21641118035316e-14	31.5244461205258
ST8SIA4	1.34389735584232	7.69061369677148	9.91783613003628	1.04872572808043e-10	4.920900893587e-07	14.4863148379894
CST7	1.57832492095715	7.84770686696969	9.83947890778624	1.24983196230542e-10	4.920900893587e-07	14.3042203466544
PTGIR	-3.94169298131236	1.27746774217525	-10.0787473365939	7.3329285788967e-11	4.920900893587e-07	13.2033053420644
GPR125	-4.29672083356227	1.58258925790287	-9.7374805372212	1.57233431440429e-10	4.95253862351063e-07	12.7378624330245
SPINT2	-1.72719001954477	5.65056007460162	-9.06715079270809	7.35185710154182e-10	1.92973995820304e-06	12.6175290605869
SP140	0.972687904421078	7.33573268568747	8.84418395866059	1.24421037941428e-09	2.44938365817444e-06	12.0302349471395
TNIP3	1.55815913794553	7.99880628441738	8.8582601131132	1.20332862338013e-09	2.44938365817444e-06	12.0186281149281
CD84	1.42005508771124	7.8911594158978	8.54881927395892	2.52332349531568e-09	4.41553574752519e-06	11.2835200447976
BRCA1	-2.00160772075057	4.38534525125012	-8.40640674592823	3.56301538893615e-09	5.10126630548686e-06	11.072675118645
LTB	-0.842425668769634	8.2362464333206	-8.44611999031336	3.23530675213409e-09	5.09528460393598e-06	10.8402028048877
CD160	2.08155185246284	6.51702875648431	8.29483150782445	4.67760680520005e-09	5.26197354107826e-06	10.8309128268439
MCOLN2	1.43837396582727	7.68853222434118	8.30135820981592	4.60351582014882e-09	5.26197354107826e-06	10.7185070451876
FYN	0.681245135462127	9.25547177734637	8.35534639319299	4.03482387727422e-09	5.26197354107826e-06	10.5620614348582
AEBP1	-2.68617405363749	3.78652266646767	-8.16117228224396	6.49466274184629e-09	6.39769641464147e-06	10.4511192390122
AOAH	1.74089442790143	7.22117836830787	8.13493213571727	6.92879165868911e-09	6.41891410780558e-06	10.3966297717838
PKIA	-2.03932010050484	4.65521280307545	-7.99813233647032	9.72267548951165e-09	7.65612081421595e-06	10.1187624769956
RAB7L1	0.915464229450322	7.37527746060402	8.00032142018892	9.66992624907266e-09	7.65612081421595e-06	9.97151783943648
MPZL2	-4.36103483669659	2.31596979243916	-8.16086016307494	6.4996598281963e-09	6.39769641464147e-06	9.94390416789663
EIF4ENIF1	1.11502069987286	7.1537297486297	7.88434119372073	1.29111921533984e-08	9.24265296472143e-06	9.74578564800703
RAB27A	0.830128476988234	8.45748775751813	7.96353867188299	1.05963801903035e-08	7.94678055319474e-06	9.70304143654712
AHRR	-4.58592891687831	1.26214579473782	-8.04860705764348	8.57783764424816e-09	7.50513139218135e-06	9.39878846034204
SH2D1A	1.3067141219279	8.1319061644082	7.78848777029552	1.64167446014541e-08	1.06437146963929e-05	9.36204093441082
LGALS3BP	-1.78000508351124	5.54668213187137	-7.67497537563166	2.18514761425731e-08	1.19100848887408e-05	9.28195692797924
KIAA0101	-3.03328728378032	2.08453555552938	-7.7770397428751	1.68958579852577e-08	1.06437146963929e-05	9.23869740019871
LEF1	-1.73138192008456	6.3128262103099	-7.69563140314519	2.0740945759134e-08	1.19100848887408e-05	9.20988267782149
PRDM1	1.9921156798987	7.5924654380924	7.65524417474371	2.29689170859332e-08	1.20579158395454e-05	9.17827771622677
HOPX	1.11732919137153	8.05624596914028	7.67353623021664	2.19310725616536e-08	1.19100848887408e-05	9.05670292697409
LYST	1.28559148770247	9.9146724693357	7.72992233199839	1.90228344343753e-08	1.15227161348837e-05	8.95977340776511
REG4	-4.33360808181498	0.75824484278823	-7.81482828153136	1.53662934478309e-08	1.05219024134734e-05	8.91700264040221
GINS2	-1.86147557396082	5.52228263879625	-7.53001663846009	3.15572899983268e-08	1.46175223583426e-05	8.90381577346816
TAX1BP1	0.582841700715085	8.56840002645842	7.5901724056179	2.70845908688891e-08	1.29259158058829e-05	8.72000886502851
HMGA1	-1.21664197405347	7.12788698115132	-7.50729946352083	3.34362051107187e-08	1.47631341434457e-05	8.64374742372492
WSB1	0.861392989417795	8.09668232951404	7.50367395715888	3.37464492452883e-08	1.47631341434457e-05	8.60221718333935
PAM	0.806460024569798	7.11152385340533	7.42974643932102	4.07540799519599e-08	1.73469190584707e-05	8.56624081014599
C4orf50	2.99663923047574	0.168681417454766	7.59253405508313	2.69228079694919e-08	1.29259158058829e-05	8.50239598219417
IQGAP2	0.985567131421892	7.93021089151572	7.39777274343378	4.42284084577137e-08	1.82137733792846e-05	8.36147574159622
FAM213A	-1.43140807136028	5.05928223274125	-7.24368175306048	6.57178757316611e-08	2.4642638688046e-05	8.24583579513264
MAP3K8	1.32206260143957	6.91325978905875	7.21958885735441	6.99334694792553e-08	2.50314138824725e-05	8.11439020596552
GNG8	-2.61789276671729	2.29781432794696	-7.38024020585399	4.62601393848108e-08	1.82137733792846e-05	8.11323314439596
COL6A2	-1.64786074159688	3.76339289238806	-7.1741328235606	7.86520093516745e-08	2.66999863488729e-05	8.06269947054013
SAMD9	1.8998373726074	6.89664452613689	7.14617670949025	8.45557256681091e-08	2.673885411889e-05	7.96887307303885
ZBTB20-AS1	4.40302252631911	2.04930712027009	7.60027304206184	2.6399524596109e-08	1.29259158058829e-05	7.95741193674581
ZEB2	2.44412288919994	7.08486315023449	7.13313977099543	8.74611094764684e-08	2.673885411889e-05	7.9539684373553
TOX	2.53471437747488	5.86023702588278	7.12720877481312	8.88162950087343e-08	2.673885411889e-05	7.94613199129195
MAD2L1	-1.45246236971886	5.32858284158314	-7.12078136986762	9.03090406093119e-08	2.673885411889e-05	7.89753161144266
OPTN	1.2079942959472	7.28927007747172	7.14712166057358	8.43489912869852e-08	2.673885411889e-05	7.85275747449255
PCNA	-0.858051262630516	7.20112521501478	-7.1898246587281	7.55237760190294e-08	2.64316433005265e-05	7.81879300843849
AIF1	-2.61636619226334	3.25025962405779	-7.12677747639349	8.89156725564384e-08	2.673885411889e-05	7.808898736616
SHCBP1	-4.33489070406062	1.46780241614037	-7.25214369535052	6.42994228734285e-08	2.4642638688046e-05	7.75012397920657
MCTP2	2.007595046143	6.02320452115324	7.01718084325444	1.18220240850815e-07	3.10308428859914e-05	7.7062467351905
PHGDH	-3.33084462618177	2.92006474434929	-7.05489803802135	1.07163985621729e-07	2.90987174061484e-05	7.64734213001522
SAMD9L	1.49572562294851	7.5398526127061	7.074786638907	1.01763323100778e-07	2.81170276405992e-05	7.62940532686064
FAM216A	-1.08916273356411	5.77662198882508	-7.01940988925065	1.17535681384607e-07	3.10308428859914e-05	7.61290307543808
CDHR3	3.59752278066012	1.47444669301268	7.38267019374262	4.59729651574641e-08	1.82137733792846e-05	7.56771292838918
ASIC1	-3.5153707889369	1.19388247341811	-7.22463569553188	6.90281888676553e-08	2.50314138824725e-05	7.5267033351903
MB21D2	-3.74591281947056	1.07519512623594	-7.10818896645212	9.33080009647298e-08	2.673885411889e-05	7.51781252868612
RRAGD	-2.02643847847421	3.58586507675815	-6.92785755979573	1.49265429570824e-07	3.67309570361079e-05	7.46547180967676
LAG3	0.744828719336092	8.73108875513511	7.10789294971703	9.33797051583559e-08	2.673885411889e-05	7.45301439771994
IRF8	-1.69163130656878	6.0662503330841	-6.96278063099575	1.36244816978076e-07	3.48353661148553e-05	7.3696531534233
AMICA1	-0.699804444135578	8.93646428375897	-7.07996203512007	1.00403908811926e-07	2.81170276405992e-05	7.316341488667
GALM	1.22152017061864	7.02956244341093	6.90068581238642	1.60265914482784e-07	3.73366681940019e-05	7.26631041046971
EPS15	0.859684826109317	7.64292437434145	6.95415236859101	1.39350312098284e-07	3.48353661148553e-05	7.25538917323028
JAKMIP1	1.4438793156535	6.47293133907705	6.85480846296975	1.80743701967959e-07	4.12540951057013e-05	7.2495611226777
ZBTB38	2.09942048136785	7.11499324831864	6.83918369487122	1.88309245300404e-07	4.17701732990994e-05	7.1819465966315
CD55	-0.803537722022769	7.53394298226897	-6.95446445560955	1.3923674085092e-07	3.48353661148553e-05	7.15445003960934
PLAGL2	-0.745563271875582	7.14331373263136	-6.91505757297011	1.54348557271381e-07	3.73366681940019e-05	7.11922883861159
HLA-DQA2	4.05213265093722	1.94078437922319	7.1691086915894	7.96812088638659e-08	2.66999863488729e-05	7.05392433857792
AKAP13	1.20262382978852	8.81062731431782	6.90631413574685	1.57921551410543e-07	3.73366681940019e-05	6.954047384182
MRPL1	-0.785142521997061	6.10917167018304	-6.76616296765027	2.2816542930918e-07	4.5485789192282e-05	6.91147539739739
BIRC5	-4.14820142101632	1.07186001538545	-6.8984432823639	1.61209818857841e-07	3.73366681940019e-05	6.90176628296869
LIMA1	0.940403572885997	7.40772720943627	6.79840137305434	2.09608020111017e-07	4.29807052694369e-05	6.89846734375596
PRKCB	0.587462689429294	8.05196425909302	6.84216824521214	1.86839665862145e-07	4.17701732990994e-05	6.85941548858032
GIMAP4	0.838170156258257	7.78212713536896	6.80010778499826	2.08669590457381e-07	4.29807052694369e-05	6.82234169926405
NEK10	3.05758046164034	0.221267032447904	6.82288535859484	1.96544145101711e-07	4.29807052694369e-05	6.7906276292749
PRF1	1.95656950589632	8.2521216695063	6.76642981510366	2.2800516853041e-07	4.5485789192282e-05	6.75179534472183
CMC1	1.91616954909007	7.48597136686389	6.69779753980665	2.73235040105284e-07	5.34540115272672e-05	6.72890561852965
ASF1B	-2.35294295697962	3.96706649182411	-6.61814346996209	3.37300592148446e-07	6.03653071107485e-05	6.69577940399149
CCND3	-1.07726579230426	8.40200687105051	-6.80369573362427	2.06710315717363e-07	4.29807052694369e-05	6.62707532461412
DUT	-0.824441173041887	6.46985927063981	-6.67379108581431	2.91123460529571e-07	5.5239799757593e-05	6.60878027093895
RNF19A	0.657725882471897	9.24005231750804	6.79743524511668	2.10141234728976e-07	4.29807052694369e-05	6.56389091749453
C4orf32	-0.989526598159508	6.13821198403766	-6.63081156709776	3.26173850395487e-07	5.97315345334712e-05	6.54759361891848
CDC45	-2.37573350757992	3.51010093420391	-6.54147362064504	4.13367008758202e-07	6.98015440979499e-05	6.49287159632144
HAVCR2	1.52432982639868	6.35887115844694	6.53852295028349	4.16619794603295e-07	6.98015440979499e-05	6.46070172827565
CDCA5	-3.65544610912598	2.62220747417898	-6.5909394044313	3.62514178134878e-07	6.2738854851057e-05	6.4542204105957
GNAI1	-4.08911439717707	-0.0264815816864049	-6.81481748803613	2.00754945479994e-07	4.29807052694369e-05	6.44997328472189
MBP	0.788601566203493	7.77584294844516	6.63152209520025	3.25560917385389e-07	5.97315345334712e-05	6.36568731220487
RAB13	-2.46421757926532	1.59743126883793	-6.65367535210754	3.07025531156922e-07	5.75636320260758e-05	6.3408615927523
CTSC	1.02500968096244	8.14486636406653	6.62020282335317	3.35465929907954e-07	6.03653071107485e-05	6.29988842050898
TYMS	-1.12069715141591	4.41642262883004	-6.45075623057914	5.26214687614183e-07	8.37106577296542e-05	6.26662016072786
KLF6	0.795467578164652	9.6222882284953	6.68295359731467	2.84159817083207e-07	5.45760116980906e-05	6.23177623372409
C19orf48	-1.0246851980513	6.86779981301393	-6.5638250474575	3.89548865548519e-07	6.66848378643873e-05	6.21663713559345
