,marker,subset,marker_subset,t,pval,lfc
1,TIGIT,CD8_naive,TIGIT_CD8_naive,3.32483296175146,0.00603969481196205,0.485791469216299
2,Tbet,CD8_memory,Tbet_CD8_memory,-2.75316919786794,0.0112696345389825,-0.264634467338843
3,KLRG1,CD8_naive,KLRG1_CD8_naive,3.37323238755564,0.0228825355898637,0.771154162404409
4,Tbet,NK,Tbet_NK,-2.35437467663327,0.0281243133117521,-0.532793144542619
5,TIGIT,CD8_memory,TIGIT_CD8_memory,2.47006278008462,0.0312463713354757,0.446518075411128
6,Tbet,CD8_naive,Tbet_CD8_naive,-2.23902505402707,0.0348367761293217,-0.296123304385623
7,CD160,CD8_memory,CD160_CD8_memory,2.18684052131063,0.044765528540852,0.146000571336471
8,FoxP3,CD4_naive,FoxP3_CD4_naive,-2.0524739998437,0.051182684834745,-0.176232679663286
9,CXCR5,CD4_memory,CXCR5_CD4_memory,-2.22285814046537,0.0599625245870528,-0.217374791223624
10,CD127,CD8_memory,CD127_CD8_memory,-2.25574100635669,0.0603543565796177,-0.395948448375
11,TIGIT,NKT,TIGIT_NKT,1.89183390290629,0.0884919859251233,0.327919154639117
12,Tbet,NKT,Tbet_NKT,-1.76456038617752,0.0917338854876713,-0.309652463007122
13,FoxP3,CD8_naive,FoxP3_CD8_naive,-1.77405756640726,0.0930059390135942,-0.0837832716215922
14,TIGIT,CD4_naive,TIGIT_CD4_naive,1.84706579099148,0.0969265416821414,0.158683349434686
15,CD122,NK,CD122_NK,-1.60188530685292,0.125296289122643,-0.0840424348652109
16,KLRG1,CD4_naive,KLRG1_CD4_naive,1.90596396226732,0.141440709008677,0.53677627396032
17,FoxP3,CD8_memory,FoxP3_CD8_memory,-1.50465891126643,0.148715950232602,-0.0901472259394138
18,TIGIT,NK,TIGIT_NK,1.50718638666478,0.1641191668322,0.263732216829397
19,CD160,CD4_memory,CD160_CD4_memory,1.27809491331637,0.214927966770082,0.106711888846348
20,FoxP3,CD4_memory,FoxP3_CD4_memory,-1.28728652771704,0.215348503899129,-0.159964663610233
21,CD160,NK,CD160_NK,1.2786677691833,0.223297892339835,0.0541026263167146
22,CXCR5,CD4_naive,CXCR5_CD4_naive,1.39497192414623,0.232430335344125,0.221597766928646
23,CD94,NK,CD94_NK,1.18786312090035,0.258326114906608,0.249535129146954
24,CD94,CD8_memory,CD94_CD8_memory,-1.14156717313837,0.270419384565835,-0.163173835428109
