,marker,subset,marker_subset,t,pval,lfc
1,FoxP3,CD4_naive,FoxP3_CD4_naive,-4.47247409801364,0.000209590850419459,-0.693234422415141
2,TIGIT,CD8_memory,TIGIT_CD8_memory,4.21700715436085,0.000542216622099027,0.744292915159719
3,TIGIT,CD8_naive,TIGIT_CD8_naive,4.02461278789595,0.00226545924788639,0.640039137041603
4,TIGIT,CD4_naive,TIGIT_CD4_naive,-3.0552417368479,0.0062986891498891,-0.461731304774547
5,CD160,CD8_memory,CD160_CD8_memory,3.27909568313784,0.00762509927464936,0.915103362046847
6,Eomes,CD8_memory,Eomes_CD8_memory,2.9600634512197,0.00900657562866614,0.577323607586043
7,CXCR5,CD4_naive,CXCR5_CD4_naive,-3.25417944456284,0.00930918475346031,-0.667348440026942
8,GrzmB,CD8_memory,GrzmB_CD8_memory,2.58684175060681,0.0195074563735125,0.685548445773639
9,CXCR5,CD8_memory,CXCR5_CD8_memory,3.33253297280596,0.0314468536023148,1.3489188452748
10,GrzmB,CD8_naive,GrzmB_CD8_naive,2.47723072484872,0.0322510534154432,0.80059335744592
11,FoxP3,CD4_memory,FoxP3_CD4_memory,-2.21616719557187,0.0364903847177241,-0.214190704946805
12,Eomes,CD8_naive,Eomes_CD8_naive,2.38536756085038,0.0369653454375313,0.395363741666329
13,CD57,CD8_memory,CD57_CD8_memory,2.3536747256037,0.0387863932527822,0.77476798482213
14,CXCR5,NKT,CXCR5_NKT,2.55939479110302,0.0574043132201636,0.371238328498537
15,PD1,CD8_memory,PD1_CD8_memory,2.11803484098814,0.0612346325963888,0.610581710085056
16,TIGIT,NK,TIGIT_NK,1.85950314790931,0.0784457245214994,0.329746325668714
17,GrzmB,NK,GrzmB_NK,1.80262205744109,0.0842539557182242,0.292893726480826
18,PD1,CD8_naive,PD1_CD8_naive,2.05786020917281,0.104063452973701,0.588641953341456
19,KLRG1,CD8_memory,KLRG1_CD8_memory,1.99941527155981,0.113548381164112,0.687338411976739
20,Eomes,CD4_naive,Eomes_CD4_naive,-1.67401749160765,0.115112447946065,-0.460044962409082
21,KLRG1,CD8_naive,KLRG1_CD8_naive,2.1246310804028,0.118623631342955,0.833389097814002
22,CD127,CD8_memory,CD127_CD8_memory,1.82238922287096,0.128350834658561,0.382985778750622
23,CD122,NK,CD122_NK,1.56596277661952,0.131106493631278,0.234111347812381
24,CD122,CD4_naive,CD122_CD4_naive,-1.47424868117826,0.159862772328667,-0.295304706830391
25,CD122,CD8_memory,CD122_CD8_memory,1.44166636184496,0.167938664176807,0.315588495684951
26,CD127,CD4_naive,CD127_CD4_naive,-1.63350360752388,0.178011485615054,-0.331831310646077
27,CD94,NK,CD94_NK,1.39344283519928,0.182589172925726,0.264148576006071
28,CD57,CD8_naive,CD57_CD8_naive,1.68600811892665,0.187100986898979,1.30750557200014
29,CD94,CD8_memory,CD94_CD8_memory,1.40599874140861,0.189429542915792,0.36897879685603
30,Tbet,CD4_naive,Tbet_CD4_naive,-1.32825865789581,0.197111304620928,-0.462439957683174
31,CD161,CD8_memory,CD161_CD8_memory,1.3486629301594,0.198731585530315,0.205086799814551
32,CD127,CD8_naive,CD127_CD8_naive,-1.43650095468122,0.201320992976659,-0.203169480629151
33,PD1,CD4_memory,PD1_CD4_memory,1.3462631143116,0.22649207182904,0.197886175452469
34,CD57,NK,CD57_NK,1.24950757860375,0.227828657917119,0.330481745528961
35,CD160,NK,CD160_NK,1.21557955457624,0.237517787451448,0.218728319014154
36,CD161,CD4_memory,CD161_CD4_memory,-1.18326725112448,0.251788388743588,-0.096806433985891
37,Tbet,CD4_memory,Tbet_CD4_memory,-1.17701954756236,0.253322038575675,-0.464384791757312
38,CD122,CD8_naive,CD122_CD8_naive,1.18075337120951,0.258638172923393,0.226166326942616
39,Eomes,NK,Eomes_NK,1.09082038551538,0.286610451094443,0.177726663592304
40,FoxP3,CD8_memory,FoxP3_CD8_memory,1.12034440613995,0.286749251592706,0.322186126772789
41,CD178,CD8_memory,CD178_CD8_memory,1.08453874828336,0.304527138156909,0.471490157877643
42,CXCR5,NK,CXCR5_NK,-1.05807826961895,0.311051077775608,-0.309546737042758
43,CD161,NK,CD161_NK,1.00630448108319,0.327627171185698,0.187469795705045
44,CD160,NKT,CD160_NKT,0.990183420183654,0.333209940038461,0.239587274819061
45,CD160,CD4_memory,CD160_CD4_memory,0.977780080406045,0.337968050065224,0.242597640987459
46,Tbet,CD8_memory,Tbet_CD8_memory,0.94088923179294,0.362596127826299,0.24329988583326
47,CD178,CD4_memory,CD178_CD4_memory,-0.926486493992993,0.368399652590464,-0.2792453009115
48,CD57,CD4_naive,CD57_CD4_naive,0.996030170533285,0.373610127754458,0.414219780288179
49,TIGIT,CD4_memory,TIGIT_CD4_memory,0.867506405557694,0.399759945436596,0.0757108149060123
