logFC	AveExpr	t	P.Value	adj.P.Val	B
ACTA2	0.600593892006484	2.33689692601197	6.67597168612576	2.57341837190896e-10	4.32128413010952e-06	11.8991140758634
EOMES	0.495614230052601	5.54891280892365	5.77552245518839	3.04892295884305e-08	0.000255987571624462	8.56512901440886
KIR2DS4	1.2191779959119	0.890172898122263	5.61228554003781	6.90944163853865e-08	0.000386744479981137	7.01009014473384
SAMD3	0.387994786528101	6.14714295726977	5.42556224739579	1.72792441398252e-07	0.000725382668989862	6.96669077676074
SERPINB9	0.240162425478558	7.13071171947951	5.17142380609351	5.81529781081206e-07	0.00183129865709147	5.84227216464754
GZMK	0.623974704774431	6.32019587361121	5.14626088262871	6.54346828403336e-07	0.00183129865709147	5.73264688635119
CMC1	0.389500061158267	3.92671361371542	5.09360745252675	8.36483419803662e-07	0.00200660422647758	5.40418516185922
CD160	0.585550237114666	3.88531516439971	5.00070839724931	1.28455720809424e-06	0.00215702846383184	5.01489486877026
XCL2	0.630429720328994	1.84382404439888	5.04909307310634	1.02807332062901e-06	0.00215702846383184	4.75134697812932
ZDHHC11B	-0.579759082635202	0.679795921930463	-5.01165836420728	1.22157395967522e-06	0.00215702846383184	4.67639199607256
GZMM	0.366939252625821	6.07240802499988	4.67455196251303	5.53959087519069e-06	0.00706999926723385	3.76028747172292
SLC4A4	0.505906334987011	1.8526070084915	4.77876351641247	3.49940871395727e-06	0.00534200646588823	3.72602276458632
NCR3	0.381277629155525	4.99121443148401	4.66033582873478	5.89447294790816e-06	0.00706999926723385	3.70469316136804
CYP4F22	0.581910844425943	1.86648715103128	4.66196177028388	5.85279953401469e-06	0.00706999926723385	3.29279648445445
SPEG	-0.445853823111233	2.26634761821115	-4.58744931313994	8.08674643988462e-06	0.00875142638105559	3.10164868899118
SPTSSB	0.552288242926389	2.21564153249843	4.58033384003247	8.33866258318779e-06	0.00875142638105559	3.08940891048801
ZNF462	-0.505438928493036	0.236471447723229	-4.4784448930956	1.2888876418614e-05	0.0116732177227922	2.75920461836934
IL2RB	0.312671646849646	8.08296300102921	4.40940038881709	1.72425607670216e-05	0.0127135652403051	2.71981975321133
CDKN2A	0.408177123597434	0.905665713726812	4.48148837280427	1.27236268900084e-05	0.0116732177227922	2.67688113703425
CERKL	0.179494367837312	7.24773167875711	4.39338088969135	1.84382564762759e-05	0.0127135652403051	2.65427039635343
MSC	0.541123415503452	1.61537921144209	4.47266961871436	1.32081429688573e-05	0.0116732177227922	2.601019983509
GZMA	0.452273274343051	6.62292876712887	4.37370365552121	2.00161226336862e-05	0.0127135652403051	2.57843561179732
ATP9A	-0.547294489935806	2.91584715501727	-4.38204657694163	1.93319131675265e-05	0.0127135652403051	2.48013773792239
KIAA1522	-0.362904954210867	2.14316072689475	-4.41936408899951	1.65368164142135e-05	0.0127135652403051	2.47693851543146
NOMO3	0.608641745228463	1.31435364119137	4.43321944035815	1.56013846219155e-05	0.0127135652403051	2.46453345083601
DCHS1	-0.459807777381521	4.17413666842687	-4.31806106919679	2.52104396198724e-05	0.0136559258740935	2.37713367989154
RUNX3	0.221195498474534	7.98430017828516	4.31933711305506	2.50780131547753e-05	0.0136559258740935	2.3765257400278
C1orf115	-0.38402599146139	1.98714738373813	-4.39197184861164	1.85471547354711e-05	0.0127135652403051	2.36943332924267
TRPC1	-0.421746688425866	1.49271333057804	-4.368644893933	2.04422499695235e-05	0.0127135652403051	2.23270286387064
MTND6P4	-0.881458621407295	0.0328248244731971	-4.30395410976437	2.67198338380199e-05	0.0140212328065009	2.17875733547664
FAM153B	-0.613488670895635	1.54944001183713	-4.33921670614422	2.30990918717887e-05	0.0136559258740935	2.14856258654045
TBC1D22B	0.146867472969706	4.49040679038164	4.25000908926961	3.33302848221297e-05	0.0169600649313092	2.13264933237513
MORN1	-0.372314041951089	1.04957425748163	-4.32123451438908	2.48823351744243e-05	0.0136559258740935	2.10588888654864
