sample	AUC
EA_921847A.37_hOKT3_R	85.15921898
FI_931676A.30_hOKT3_R	72.1631503
EA_931676B.30_hOKT3_R	72.1631503
FI_933800A.30_hOKT3_R	60.62061323
EA_933800B.33_hOKT3_R	60.62061323
EA_945926A.30_hOKT3_R	46.84785654
EA_948595A.32_hOKT3_R	34.02444935
FI_933799A.30_hOKT3_R	28.00909185
FI_916781B.30_hOKT3_R	23.1989639
EA_947641A.37_hOKT3_R	18.23278547
FI_928954A.30_Control_NR	16.10313686
EA_928954B.37_Control_NR	16.10313686
EA_936735A.31_hOKT3_R	13.44963047
EA_947067A.34_hOKT3_R	6.774863182
FI_934443A.30_hOKT3_R	-3.074284758
EA_934443B.37_hOKT3_R	-3.074284758
EA_936733A.36_hOKT3_R	-3.085299456
EA_929107B.36_Control_NR	-4.666629093
EA_945925A.37_hOKT3_R	-7.181032346
FI_924004A.30_hOKT3_R	-7.222378146
EA_924004B.38_hOKT3_R	-7.222378146
EA_947519A.31_hOKT3_R	-9.516874247
FI_921900A.30_hOKT3_NR	-11.87225361
EA_921900B.38_hOKT3_NR	-11.87225361
EA_948301A.31_hOKT3_R	-20.06551013
EA_933829A.35_hOKT3_NR	-21.89784603
EA_948732A.36_hOKT3_NR	-25.0103534
EA_922070A.31_hOKT3_NR	-26.29676871
FI_922051A.30_hOKT3_NR	-30.42688465
EA_922051B.33_hOKT3_NR	-30.42688465
FI_934442A.30_hOKT3_NR	-31.71563981
EA_934442B.34_hOKT3_NR	-31.71563981
FI_937079A.30_hOKT3_NR	-32.69442609
EA_937079B.37_hOKT3_NR	-32.69442609
FI_937164A.30_hOKT3_R	-32.86582098
EA_937164B.33_hOKT3_R	-32.86582098
FI_937165A.30_Control_NR	-33.99450717
EA_937165B.37_Control_NR	-33.99450717
FI_931982A.30_Control_NR	-34.22818792
EA_931982B.34_Control_NR	-34.22818792
FI_931307A.30_hOKT3_NR	-36.17801047
FI_923359A.30_hOKT3_NR	-36.54942726
EA_923359B.37_hOKT3_NR	-36.54942726
FI_937078A.30_Control_NR	-36.58609728
FI_922014A.30_Control_NR	-37.91881443
EA_922014B.37_Control_NR	-37.91881443
EA_936779A.34_hOKT3_NR	-41.28349974
EA_923974B.35_Control_NR	-43.58256862
FI_924916A.30_Control_NR	-46.11634709
EA_924916B.36_Control_NR	-46.11634709
FI_919266A301_hOKT3_NR	-48.59400998
FI_922201B.30_hOKT3_NR	-49.46344065
EA_922201A.32_hOKT3_NR	-49.46344065
FI_920366A.30_hOKT3_NR	-50.94359187
EA_920366B.35_hOKT3_NR	-50.94359187
EA_947010A.31_Control_NR	-51.79108559
FI_923360A.30_Control_NR	-55.74740208
EA_947547A.33_hOKT3_NR	-59.17349483
EA_936734A.36_hOKT3_NR	-60.09837963
FI_937163A.30_hOKT3_NR	-62.83203383
EA_937163B.33_hOKT3_NR	-62.83203383
EA_922049A.33_hOKT3_NR	-64.68946823
FI_920367A301_Control_NR	-69.09101669
FI_915916B301_Control_NR	-69.09101669
EA_928866B.35_Control_NR	-69.09101669
FI_930246A.30_Control_NR	-75.62724014
FI_931981A.30_Control_NR	-80.60870682
FI_931677A.30_Control_NR	-82.94605384
EA_931677B.37_Control_NR	-82.94605384
FI_922202A.30_Control_NR	-89.31257653
EA_922202B.35_Control_NR	-89.31257653
FI_919132A301_Control_NR	-92.21176281
