NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT
row_0	SAMD3	SAMD3	null	null	54	0.582562745	0.028709482	Yes
row_1	MATK	MATK	null	null	74	0.561961353	0.057362095	Yes
row_2	GZMM	GZMM	null	null	145	0.514148712	0.08205297	Yes
row_3	NKG7	NKG7	null	null	167	0.504653156	0.10766957	Yes
row_4	GZMA	GZMA	null	null	219	0.486542344	0.13147615	Yes
row_5	CD7	CD7	null	null	404	0.438450992	0.14893155	Yes
row_6	NCR3	NCR3	null	null	410	0.437233359	0.17150801	Yes
row_7	CCL5	CCL5	null	null	448	0.430864662	0.19282672	Yes
row_8	PTPN4	PTPN4	null	null	543	0.416368186	0.21174121	Yes
row_9	SLAMF7	SLAMF7	null	null	568	0.412311643	0.23247232	Yes
row_10	GZMH	GZMH	null	null	623	0.403048962	0.25185317	Yes
row_11	KLRD1	KLRD1	null	null	751	0.389105052	0.26839516	Yes
row_12	PPP2R2B	PPP2R2B	null	null	788	0.385265231	0.2873732	Yes
row_13	APOBEC3H	APOBEC3H	null	null	867	0.377050221	0.30470788	Yes
row_14	PYHIN1	PYHIN1	null	null	968	0.367668986	0.3209179	Yes
row_15	GPR68	GPR68	null	null	980	0.366699815	0.33965525	Yes
row_16	SPN	SPN	null	null	1009	0.364600569	0.35779113	Yes
row_17	NPC1	NPC1	null	null	1052	0.361170977	0.37534332	Yes
row_18	ACOT7	ACOT7	null	null	1151	0.352207959	0.3908078	Yes
row_19	CMC1	CMC1	null	null	1199	0.349437714	0.40760547	Yes
row_20	SH2D1A	SH2D1A	null	null	1261	0.345154464	0.42377505	Yes
row_21	HOPX	HOPX	null	null	1411	0.334980488	0.43686718	Yes
row_22	ENPP5	ENPP5	null	null	1602	0.323476106	0.448174	Yes
row_23	FASLG	FASLG	null	null	1927	0.306780219	0.4547322	Yes
row_24	ADA	ADA	null	null	1957	0.305322766	0.4697587	Yes
row_25	KLRG1	KLRG1	null	null	1960	0.305235058	0.48556262	Yes
row_26	SBK1	SBK1	null	null	2080	0.300668865	0.49774063	Yes
row_27	SLC4A4	SLC4A4	null	null	2359	0.289784998	0.5047479	Yes
row_28	PLEKHF1	PLEKHF1	null	null	2397	0.288274854	0.5186568	Yes
row_29	TIGIT	TIGIT	null	null	2461	0.285713136	0.5316795	Yes
row_30	STAT4	STAT4	null	null	2560	0.28196007	0.5434935	Yes
row_31	MYBL1	MYBL1	null	null	2717	0.275553554	0.5532947	Yes
row_32	FCRL6	FCRL6	null	null	2871	0.269820571	0.5628849	Yes
row_33	NCALD	NCALD	null	null	3006	0.265307158	0.57279086	Yes
row_34	ABCB1	ABCB1	null	null	3130	0.260229707	0.5827516	Yes
row_35	SYT11	SYT11	null	null	3349	0.253210276	0.589596	Yes
row_36	RAB27B	RAB27B	null	null	3713	0.243517399	0.5917371	Yes
row_37	KIFAP3	KIFAP3	null	null	3826	0.240118712	0.6009713	Yes
row_38	GFI1	GFI1	null	null	3862	0.238941804	0.6123744	Yes
row_39	RTN4R	RTN4R	null	null	3993	0.235249445	0.62083423	Yes
row_40	STK39	STK39	null	null	4066	0.233209476	0.6308679	Yes
row_41	RASAL3	RASAL3	null	null	4108	0.23224102	0.6417491	Yes
row_42	RAB7L1	RAB7L1	null	null	4221	0.229209751	0.6504164	Yes
row_43	PTPN7	PTPN7	null	null	4380	0.224950254	0.65753	Yes
row_44	DENND2D	DENND2D	null	null	4962	0.210524261	0.6516427	Yes
row_45	SOX13	SOX13	null	null	5183	0.204877689	0.6559175	Yes
row_46	PCNA	PCNA	null	null	5456	0.19870998	0.65836585	Yes
row_47	RARRES3	RARRES3	null	null	5554	0.196637511	0.6657749	Yes
row_48	KLRB1	KLRB1	null	null	6692	0.173736349	0.6418725	No
row_49	ITPRIPL1	ITPRIPL1	null	null	7352	0.162167549	0.63121325	No
row_50	SYTL2	SYTL2	null	null	8428	0.143906131	0.6075564	No
row_51	CLDND2	CLDND2	null	null	8588	0.141119584	0.61028475	No
row_52	DLG3	DLG3	null	null	9114	0.132580772	0.60196894	No
row_53	BAHD1	BAHD1	null	null	9728	0.122969262	0.59060496	No
row_54	PAFAH2	PAFAH2	null	null	9879	0.12065123	0.5925303	No
row_55	PDZD4	PDZD4	null	null	10201	0.11566595	0.58924395	No
row_56	SLA2	SLA2	null	null	10957	0.103610381	0.5727612	No
row_57	RGS9	RGS9	null	null	11266	0.098887309	0.56897944	No
row_58	PIP4K2A	PIP4K2A	null	null	11334	0.097940557	0.57212853	No
row_59	TMEM181	TMEM181	null	null	11822	0.090848193	0.5627446	No
row_60	DCLRE1A	DCLRE1A	null	null	12231	0.085022941	0.5553461	No
row_61	SSX2IP	SSX2IP	null	null	12423	0.082239985	0.5540879	No
row_62	PHAX	PHAX	null	null	12884	0.076091543	0.54471916	No
row_63	TBX21	TBX21	null	null	14754	0.049711864	0.49317092	No
row_64	MRPL10	MRPL10	null	null	18585	-0.001856657	0.38233972	No
row_65	PRR5	PRR5	null	null	18734	-0.004126835	0.37826768	No
row_66	RHOF	RHOF	null	null	18919	-0.006698525	0.3732866	No
row_67	CHST12	CHST12	null	null	19004	-0.007741727	0.37125605	No
row_68	CHPF	CHPF	null	null	19527	-0.01497234	0.3569155	No
row_69	F2R	F2R	null	null	20587	-0.029808501	0.32779288	No
row_70	HOXB4	HOXB4	null	null	25952	-0.113161534	0.17831676	No
row_71	BFSP1	BFSP1	null	null	31945	-0.247058123	0.017610043	No
row_72	TSC22D1	TSC22D1	null	null	33513	-0.323541701	-0.010961548	No
row_73	TTC22	TTC22	null	null	34061	-0.382575095	-0.006923311	No
row_74	ATP1A3	ATP1A3	null	null	34326	-0.433632463	0.00796466	No
