Module	Association	Set.size	Enrichmemnt.score	Normalized.enrichment.score	nominal.p.val	FDR.q.val	FWER.p.val
KLRD1.MOD	Responder samples	84	0.7463431	1.8568958	0.007590133	0.14233552	0.053
NKG7.MOD	Responder samples	78	0.746249	1.8209144	0.009652509	0.12159753	0.085
KIR2DL1.MOD	Responder samples	73	0.69299656	1.8191259	0.011235955	0.08370728	0.087
GZMA.MOD	Responder samples	78	0.76803535	1.8189212	0.007984032	0.06278046	0.087
TOX.MOD	Responder samples	86	0.704777	1.8174226	0.010080645	0.051456116	0.091
RUNX3.MOD	Responder samples	88	0.6848421	1.8130428	0.01026694	0.044449825	0.093
FASLG.MOD	Responder samples	78	0.7242059	1.8113954	0.013333334	0.038554274	0.093
TBX21.MOD	Responder samples	83	0.74760014	1.8107449	0.011857707	0.033867456	0.093
CD160.MOD	Responder samples	88	0.67661786	1.802894	0.015065913	0.033201285	0.102
GNLY.MOD	Responder samples	82	0.70442146	1.7966273	0.02079395	0.03266046	0.113
CD244.MOD	Responder samples	88	0.6484585	1.7842643	0.01724138	0.0345387	0.126
IL2RB.MOD	Responder samples	87	0.6759346	1.7690125	0.01532567	0.03771327	0.143
KIR2DS4.MOD	Responder samples	71	0.7027085	1.764121	0.017374517	0.036273953	0.147
PRF1.MOD	Responder samples	83	0.6826457	1.737357	0.024253732	0.044960707	0.174
EOMES.MOD	Responder samples	75	0.7141989	1.7303492	0.01632653	0.04522058	0.183
GZMB.MOD	Responder samples	81	0.6794363	1.7089765	0.02457467	0.053910293	0.221
GZMM.MOD	Responder samples	84	0.68147403	1.6828859	0.031936128	0.066692606	0.267
NCAM1.MOD	Responder samples	76	0.6639408	1.6373042	0.037950665	0.09711973	0.352
SMAD7.MOD	Responder samples	84	0.571676	1.5751747	0.062626265	0.16149837	0.496
SMARCD2.MOD	Responder samples	79	0.3865941	1.574744	0.078895465	0.1542287	0.497
STAT4.MOD	Responder samples	84	0.5715131	1.5070882	0.097609565	0.24822482	0.64
GZMK.MOD	Responder samples	65	0.53059584	1.5057063	0.07910751	0.23998173	0.642
CD8A.MOD	Responder samples	66	0.46912557	1.4475219	0.11706349	0.34143564	0.741
NFATC3.MOD	Responder samples	80	0.45220548	1.4291459	0.11022044	0.3666974	0.77
E2F1.MOD	Responder samples	87	0.53390366	1.3860108	0.15879828	0.44216424	0.828
TIGIT.MOD	Responder samples	83	0.53828186	1.3629221	0.2122449	0.47541237	0.856
STAT1.MOD	Responder samples	92	0.718161	1.3594748	0.042201836	0.46572933	0.865
STAT2.MOD	Responder samples	92	0.7369313	1.3454309	0.025641026	0.47729164	0.884
IRF7.MOD	Responder samples	93	0.71876997	1.3343219	0.027522936	0.48251528	0.895
AFF1.MOD	Responder samples	88	0.48161906	1.2665992	0.24807692	0.6014248	0.943
RUNX1.MOD	Responder samples	93	0.3304222	1.1471505	0.30543932	0.8302759	0.986
CD8B.MOD	Responder samples	69	0.35373998	1.1265872	0.33133733	0.844387	0.99
CBX3.MOD	Responder samples	86	0.34047967	1.1220776	0.36419752	0.8279129	0.991
RORC.MOD	Responder samples	50	0.46144292	1.0856112	0.43958333	0.8721633	0.994
GATA3.MOD	Responder samples	84	0.41245058	1.0855203	0.43505156	0.8473664	0.994
RBBP7.MOD	Responder samples	85	0.34830403	1.0383319	0.47186148	0.91120505	0.999
CD2.MOD	Responder samples	59	0.44029096	0.97443247	0.5450734	0.99544954	0.999
CBFB.MOD	Responder samples	91	0.37633386	0.9014781	0.6268657	1	1
BCLAF1.MOD	Responder samples	73	0.22245361	0.84549767	0.6566866	1	1
TFAM.MOD	Responder samples	66	0.3272667	0.8323313	0.6666667	1	1
TCF12.MOD	Responder samples	87	0.3099645	0.8231315	0.66810346	1	1
MAF.MOD	Responder samples	84	0.33908984	0.81114876	0.6688034	1	1
MPO.MOD	Responder samples	71	0.2883278	0.7935548	0.67836255	1	1
IL15RA.MOD	Responder samples	87	0.33813804	0.792381	0.6693387	1	1
YY1.MOD	Responder samples	87	0.21393147	0.7798752	0.72778827	1	1
IL27RA.MOD	Responder samples	93	0.33786067	0.7748422	0.6888412	1	1
IKZF1.MOD	Responder samples	83	0.29739583	0.76625896	0.70746887	1	1
RREB1.MOD	Responder samples	77	0.22971417	0.7553061	0.7229862	1	1
NFKB1.MOD	Responder samples	85	0.17383151	0.74701804	0.7582846	1	1
MLL.MOD	Responder samples	85	0.23631026	0.7129101	0.70445347	1	1
HDAC2.MOD	Responder samples	88	0.2760832	0.69152236	0.7205882	1	1
CD3E.MOD	Responder samples	58	0.30618462	0.6631442	0.77178425	1	1
COPS2.MOD	Responder samples	80	0.2582458	0.6606862	0.7889126	1	1
