module_name	AUC_set_name	overlap	AUC_set_size	universe	module_size	p	p-none	p-Bonn	p-BH	overlap_IDs
module_.979	set_size_0	0	1	34602	84	0.002427535	0.002427535	0.194202815	0.005271219	no_overlap
module_.571	set_size_0	0	1	34602	46	0.001329365	0.001329365	0.10634916	0.005271219	no_overlap
module_.721	set_size_0	0	1	34602	97	0.002803225	0.002803225	0.224258012	0.005271219	no_overlap
module_.619	set_size_0	0	1	34602	79	0.002283039	0.002283039	0.182643123	0.005271219	no_overlap
module_.877	set_size_0	0	1	34602	64	0.001849551	0.001849551	0.147964049	0.005271219	no_overlap
module_.799	set_size_0	0	1	34602	59	0.001705054	0.001705054	0.136404358	0.005271219	no_overlap
module_.763	set_size_0	0	1	34602	111	0.003207814	0.003207814	0.256625148	0.005271219	no_overlap
module_.559	set_size_0	0	1	34602	35	0.001011473	0.001011473	0.080917839	0.005271219	no_overlap
module_.997	set_size_0	0	1	34602	55	0.001589458	0.001589458	0.127156605	0.005271219	no_overlap
module_.637	set_size_0	0	1	34602	53	0.001531659	0.001531659	0.122532728	0.005271219	no_overlap
module_.937	set_size_0	0	1	34602	203	0.005866543	0.005866543	0.469323469	0.006175309	no_overlap
module_.781	set_size_0	0	1	34602	127	0.003670202	0.003670202	0.29361616	0.005380511	no_overlap
module_.1015	set_size_0	0	1	34602	172	0.004970667	0.004970667	0.397653383	0.005763093	no_overlap
module_.745	set_size_0	0	1	34602	105	0.003034419	0.003034419	0.242753518	0.005271219	no_overlap
module_.697	set_size_0	0	1	34602	88	0.002543132	0.002543132	0.203450568	0.005271219	no_overlap
module_.709	set_size_0	0	1	34602	45	0.001300465	0.001300465	0.104037222	0.005271219	no_overlap
module_.865	set_size_0	0	1	34602	52	0.00150276	0.00150276	0.12022079	0.005271219	no_overlap
module_.631	set_size_0	0	1	34602	80	0.002311938	0.002311938	0.184955062	0.005271219	no_overlap
module_.805	set_size_0	0	1	34602	79	0.002283039	0.002283039	0.182643123	0.005271219	no_overlap
module_.565	set_size_0	0	1	34602	126	0.003641303	0.003641303	0.291304222	0.005380511	no_overlap
module_.1009	set_size_0	0	1	34602	66	0.001907349	0.001907349	0.152587926	0.005271219	no_overlap
module_.643	set_size_0	0	1	34602	51	0.001473861	0.001473861	0.117908852	0.005271219	no_overlap
module_.751	set_size_0	0	1	34602	21	0.000606884	0.000606884	0.048550704	0.005271219	no_overlap
module_.871	set_size_0	0	1	34602	156	0.00450828	0.00450828	0.36066237	0.005619788	no_overlap
module_.733	set_size_0	0	1	34602	145	0.004190388	0.004190388	0.335231049	0.005571392	no_overlap
module_.823	set_size_0	0	1	34602	168	0.00485507	0.00485507	0.38840563	0.005711847	no_overlap
module_.925	set_size_0	0	1	34602	188	0.005433055	0.005433055	0.434644395	0.006036728	no_overlap
module_.919	set_size_0	0	1	34602	147	0.004248187	0.004248187	0.339854926	0.005571392	no_overlap
module_.973	set_size_0	0	1	34602	119	0.003439008	0.003439008	0.275120654	0.005380511	no_overlap
module_.679	set_size_0	0	1	34602	66	0.001907349	0.001907349	0.152587926	0.005271219	no_overlap
module_.399	set_size_0	0	1	34602	31	0.000895876	0.000895876	0.071670086	0.005271219	no_overlap
module_.655	set_size_0	0	1	34602	89	0.002572031	0.002572031	0.205762506	0.005271219	no_overlap
module_.787	set_size_0	0	1	34602	49	0.001416062	0.001416062	0.113284975	0.005271219	no_overlap
module_.577	set_size_0	0	1	34602	128	0.003699101	0.003699101	0.295928099	0.005380511	no_overlap
module_.775	set_size_0	0	1	34602	87	0.002514233	0.002514233	0.20113863	0.005271219	no_overlap
module_.889	set_size_0	0	1	34602	84	0.002427535	0.002427535	0.194202815	0.005271219	no_overlap
module_.727	set_size_0	0	1	34602	89	0.002572031	0.002572031	0.205762506	0.005271219	no_overlap
module_.895	set_size_0	0	1	34602	90	0.002600931	0.002600931	0.208074444	0.005271219	no_overlap
module_.625	set_size_0	0	1	34602	158	0.004566078	0.004566078	0.365286247	0.005619788	no_overlap
module_.601	set_size_0	0	1	34602	88	0.002543132	0.002543132	0.203450568	0.005271219	no_overlap
module_.967	set_size_0	0	1	34602	239	0.006906916	0.006906916	0.552553247	0.006994345	no_overlap
module_.883	set_size_0	0	1	34602	100	0.002889923	0.002889923	0.231193827	0.005271219	no_overlap
module_.583	set_size_0	0	1	34602	108	0.003121117	0.003121117	0.249689333	0.005271219	no_overlap
module_.847	set_size_0	0	1	34602	88	0.002543132	0.002543132	0.203450568	0.005271219	no_overlap
module_.793	set_size_0	0	1	34602	156	0.00450828	0.00450828	0.36066237	0.005619788	no_overlap
module_.661	set_size_0	0	1	34602	114	0.003294512	0.003294512	0.263560963	0.005271219	no_overlap
module_.739	set_size_0	0	1	34602	143	0.00413259	0.00413259	0.330607173	0.005571392	no_overlap
module_.907	set_size_0	0	1	34602	167	0.004826171	0.004826171	0.386093691	0.005711847	no_overlap
module_.853	set_size_0	0	1	34602	113	0.003265613	0.003265613	0.261249025	0.005271219	no_overlap
module_.961	set_size_0	0	1	34602	66	0.001907349	0.001907349	0.152587926	0.005271219	no_overlap
module_.649	set_size_0	0	1	34602	81	0.002340837	0.002340837	0.187267	0.005271219	no_overlap
module_.1027	set_size_0	0	1	34602	59	0.001705054	0.001705054	0.136404358	0.005271219	no_overlap
module_.589	set_size_0	0	1	34602	69	0.001994047	0.001994047	0.159523741	0.005271219	no_overlap
module_.931	set_size_0	0	1	34602	137	0.003959194	0.003959194	0.316735543	0.005556764	no_overlap
module_.595	set_size_0	0	1	34602	184	0.005317458	0.005317458	0.425396642	0.005991502	no_overlap
module_.1003	set_size_0	0	1	34602	146	0.004219287	0.004219287	0.337542988	0.005571392	no_overlap
module_.703	set_size_0	0	1	34602	259	0.0074849	0.0074849	0.598792012	0.0074849	no_overlap
module_.757	set_size_0	0	1	34602	199	0.005750946	0.005750946	0.460075716	0.006175309	no_overlap
module_.829	set_size_0	0	1	34602	46	0.001329365	0.001329365	0.10634916	0.005271219	no_overlap
module_.955	set_size_0	0	1	34602	108	0.003121117	0.003121117	0.249689333	0.005271219	no_overlap
module_.667	set_size_0	0	1	34602	48	0.001387163	0.001387163	0.110973037	0.005271219	no_overlap
module_.859	set_size_0	0	1	34602	108	0.003121117	0.003121117	0.249689333	0.005271219	no_overlap
module_.817	set_size_0	0	1	34602	132	0.003814698	0.003814698	0.305175852	0.005449569	no_overlap
module_.991	set_size_0	0	1	34602	165	0.004768373	0.004768373	0.381469815	0.005711847	no_overlap
module_.943	set_size_0	0	1	34602	192	0.005548652	0.005548652	0.443892148	0.006080714	no_overlap
module_.613	set_size_0	0	1	34602	108	0.003121117	0.003121117	0.249689333	0.005271219	no_overlap
module_.769	set_size_0	0	1	34602	107	0.003092217	0.003092217	0.247377395	0.005271219	no_overlap
module_.715	set_size_0	0	1	34602	128	0.003699101	0.003699101	0.295928099	0.005380511	no_overlap
module_.949	set_size_0	0	1	34602	54	0.001560558	0.001560558	0.124844667	0.005271219	no_overlap
module_.673	set_size_0	0	1	34602	67	0.001936248	0.001936248	0.154899864	0.005271219	no_overlap
module_.913	set_size_0	0	1	34602	113	0.003265613	0.003265613	0.261249025	0.005271219	no_overlap
module_.691	set_size_0	0	1	34602	182	0.00525966	0.00525966	0.420772765	0.005991502	no_overlap
module_.811	set_size_0	0	1	34602	155	0.00447938	0.00447938	0.358350432	0.005619788	no_overlap
module_.841	set_size_0	0	1	34602	114	0.003294512	0.003294512	0.263560963	0.005271219	no_overlap
module_.901	set_size_0	0	1	34602	207	0.00598214	0.00598214	0.478571222	0.006215211	no_overlap
module_.1021	set_size_0	0	1	34602	210	0.006068838	0.006068838	0.485507037	0.006224449	no_overlap
module_.835	set_size_0	0	1	34602	35	0.001011473	0.001011473	0.080917839	0.005271219	no_overlap
module_.985	set_size_0	0	1	34602	51	0.001473861	0.001473861	0.117908852	0.005271219	no_overlap
module_.607	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.221946074	0.005271219	no_overlap
module_.685	set_size_0	0	1	34602	203	0.005866543	0.005866543	0.469323469	0.006175309	no_overlap
module_.979	set_size_100	0	100	34503	84	0.216040109	0.216040109	1	0.357350156	no_overlap
module_.571	set_size_100	0	100	34503	46	0.124723704	0.124723704	1	0.340669313	no_overlap
module_.721	set_size_100	0	100	34503	97	0.245061553	0.245061553	1	0.357350156	no_overlap
module_.619	set_size_100	0	100	34503	79	0.204586269	0.204586269	1	0.357350156	no_overlap
module_.877	set_size_100	0	100	34503	64	0.169221358	0.169221358	1	0.352833397	no_overlap
module_.799	set_size_100	1	100	34503	59	0.012710676	0.012710676	1	0.244551425	SLC9A3R1
module_.763	set_size_100	1	100	34503	111	0.041180917	0.041180917	1	0.329447333	EHD4
module_.559	set_size_100	0	100	34503	35	0.09637751	0.09637751	1	0.340669313	no_overlap
module_.997	set_size_100	1	100	34503	55	0.011114484	0.011114484	0.88915872	0.244551425	LAIR2
module_.637	set_size_100	0	100	34503	53	0.142301974	0.142301974	1	0.340669313	no_overlap
module_.937	set_size_100	3	100	34503	203	0.002906964	0.002906964	0.232557158	0.232557158	"ZNF41, SSX3, SLC3A1"
module_.781	set_size_100	0	100	34503	127	0.308037384	0.308037384	1	0.37020235	no_overlap
module_.1015	set_size_100	0	100	34503	172	0.392875986	0.392875986	1	0.419067718	no_overlap
module_.745	set_size_100	0	100	34503	105	0.26238956	0.26238956	1	0.357350156	no_overlap
module_.697	set_size_100	0	100	34503	88	0.225085488	0.225085488	1	0.357350156	no_overlap
module_.709	set_size_100	0	100	34503	45	0.122183579	0.122183579	1	0.340669313	no_overlap
module_.865	set_size_100	0	100	34503	52	0.139812357	0.139812357	1	0.340669313	no_overlap
module_.631	set_size_100	1	100	34503	80	0.022574669	0.022574669	1	0.244551425	TP53TG3
module_.805	set_size_100	0	100	34503	79	0.204586269	0.204586269	1	0.357350156	no_overlap
module_.565	set_size_100	0	100	34503	126	0.306024518	0.306024518	1	0.37020235	no_overlap
module_.1009	set_size_100	0	100	34503	66	0.174025133	0.174025133	1	0.352833397	no_overlap
module_.643	set_size_100	0	100	34503	51	0.137315586	0.137315586	1	0.340669313	no_overlap
module_.751	set_size_100	0	100	34503	21	0.058982778	0.058982778	1	0.340669313	no_overlap
module_.871	set_size_100	1	100	34503	156	0.075088913	0.075088913	1	0.340669313	TBL2
module_.733	set_size_100	1	100	34503	145	0.066157753	0.066157753	1	0.340669313	SMAD5
module_.823	set_size_100	1	100	34503	168	0.085240714	0.085240714	1	0.340669313	CASP3
module_.925	set_size_100	0	100	34503	188	0.420488471	0.420488471	1	0.436871139	no_overlap
module_.919	set_size_100	0	100	34503	147	0.347102449	0.347102449	1	0.391101351	no_overlap
module_.973	set_size_100	0	100	34503	119	0.291771231	0.291771231	1	0.364714039	no_overlap
module_.679	set_size_100	1	100	34503	66	0.015728074	0.015728074	1	0.244551425	SLC25A15
module_.399	set_size_100	0	100	34503	31	0.085846044	0.085846044	1	0.340669313	no_overlap
module_.655	set_size_100	1	100	34503	89	0.027512035	0.027512035	1	0.244551425	HIST1H2BD
module_.787	set_size_100	0	100	34503	49	0.1323005	0.1323005	1	0.340669313	no_overlap
module_.577	set_size_100	0	100	34503	128	0.310044468	0.310044468	1	0.37020235	no_overlap
module_.775	set_size_100	1	100	34503	87	0.026380226	0.026380226	1	0.244551425	FAH
module_.889	set_size_100	0	100	34503	84	0.216040109	0.216040109	1	0.357350156	no_overlap
module_.727	set_size_100	0	100	34503	89	0.227330641	0.227330641	1	0.357350156	no_overlap
module_.895	set_size_100	0	100	34503	90	0.229569353	0.229569353	1	0.357350156	no_overlap
module_.625	set_size_100	1	100	34503	158	0.076752286	0.076752286	1	0.340669313	BMP2
module_.601	set_size_100	0	100	34503	88	0.225085488	0.225085488	1	0.357350156	no_overlap
module_.967	set_size_100	0	100	34503	239	0.500468543	0.500468543	1	0.500468543	no_overlap
module_.883	set_size_100	0	100	34503	100	0.25160628	0.25160628	1	0.357350156	no_overlap
module_.583	set_size_100	0	100	34503	108	0.268785545	0.268785545	1	0.357350156	no_overlap
module_.847	set_size_100	1	100	34503	88	0.026943702	0.026943702	1	0.244551425	TCEB2
module_.793	set_size_100	0	100	34503	156	0.3639616	0.3639616	1	0.398862027	no_overlap
module_.661	set_size_100	0	100	34503	114	0.281413248	0.281413248	1	0.357350156	no_overlap
module_.739	set_size_100	0	100	34503	143	0.339468199	0.339468199	1	0.391101351	no_overlap
module_.907	set_size_100	2	100	34503	167	0.012684992	0.012684992	1	0.244551425	"MXI1, MAFG"
module_.853	set_size_100	0	100	34503	113	0.279323726	0.279323726	1	0.357350156	no_overlap
module_.961	set_size_100	0	100	34503	66	0.174025133	0.174025133	1	0.352833397	no_overlap
module_.649	set_size_100	0	100	34503	81	0.209187551	0.209187551	1	0.357350156	no_overlap
module_.1027	set_size_100	0	100	34503	59	0.157090575	0.157090575	1	0.352833397	no_overlap
module_.589	set_size_100	0	100	34503	69	0.181179282	0.181179282	1	0.353520549	no_overlap
module_.931	set_size_100	0	100	34503	137	0.327850826	0.327850826	1	0.385706854	no_overlap
module_.595	set_size_100	0	100	34503	184	0.413704183	0.413704183	1	0.435478088	no_overlap
module_.1003	set_size_100	0	100	34503	146	0.345202115	0.345202115	1	0.391101351	no_overlap
module_.703	set_size_100	1	100	34503	259	0.172352875	0.172352875	1	0.352833397	TAP2
module_.757	set_size_100	0	100	34503	199	0.438747123	0.438747123	1	0.449997049	no_overlap
module_.829	set_size_100	0	100	34503	46	0.124723704	0.124723704	1	0.340669313	no_overlap
module_.955	set_size_100	0	100	34503	108	0.268785545	0.268785545	1	0.357350156	no_overlap
module_.667	set_size_100	0	100	34503	48	0.129782144	0.129782144	1	0.340669313	no_overlap
module_.859	set_size_100	0	100	34503	108	0.268785545	0.268785545	1	0.357350156	no_overlap
module_.817	set_size_100	1	100	34503	132	0.056110367	0.056110367	1	0.340669313	HERC5
module_.991	set_size_100	0	100	34503	165	0.380389655	0.380389655	1	0.411232059	no_overlap
