module_name	AUC_set_name	overlap	AUC_set_size	universe	module_size	p	p-none	p-Bonn	p-BH	overlap_IDs
AFF1.mod	set_size_0	0	1	34602	92	0.002658729	0.002658729	0.29511892	0.002889923	no_overlap
BAZ1A.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
BCLAF1.mod	set_size_0	0	1	34602	87	0.002514233	0.002514233	0.279079849	0.002889923	no_overlap
BTAF1.mod	set_size_0	0	1	34602	90	0.002600931	0.002600931	0.288703292	0.002889923	no_overlap
CBFB.mod	set_size_0	0	1	34602	100	0.002889923	0.002889923	0.320781435	0.002889923	no_overlap
CBX1.mod	set_size_0	0	1	34602	93	0.002687628	0.002687628	0.298326735	0.002889923	no_overlap
CBX3.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
CBX5.mod	set_size_0	0	1	34602	95	0.002745427	0.002745427	0.304742363	0.002889923	no_overlap
CCNT2.mod	set_size_0	0	1	34602	90	0.002600931	0.002600931	0.288703292	0.002889923	no_overlap
CHD3.mod	set_size_0	0	1	34602	88	0.002543132	0.002543132	0.282287663	0.002889923	no_overlap
COPS2.mod	set_size_0	0	1	34602	97	0.002803225	0.002803225	0.311157992	0.002889923	no_overlap
E2F1.mod	set_size_0	0	1	34602	99	0.002861024	0.002861024	0.317573621	0.002889923	no_overlap
EED.mod	set_size_0	0	1	34602	98	0.002832124	0.002832124	0.314365806	0.002889923	no_overlap
ELF4.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
EOMES.mod	set_size_0	0	1	34602	93	0.002687628	0.002687628	0.298326735	0.002889923	no_overlap
ETF1.mod	set_size_0	0	1	34602	90	0.002600931	0.002600931	0.288703292	0.002889923	no_overlap
ETS2.mod	set_size_0	0	1	34602	92	0.002658729	0.002658729	0.29511892	0.002889923	no_overlap
FLI1.mod	set_size_0	0	1	34602	100	0.002889923	0.002889923	0.320781435	0.002889923	no_overlap
FOS.mod	set_size_0	0	1	34602	88	0.002543132	0.002543132	0.282287663	0.002889923	no_overlap
FOXJ2.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
FOXO3.mod	set_size_0	0	1	34602	97	0.002803225	0.002803225	0.311157992	0.002889923	no_overlap
FOXP3.mod	set_size_0	0	1	34602	89	0.002572031	0.002572031	0.285495477	0.002889923	no_overlap
FUBP1.mod	set_size_0	0	1	34602	92	0.002658729	0.002658729	0.29511892	0.002889923	no_overlap
FUS.mod	set_size_0	0	1	34602	79	0.002283039	0.002283039	0.253417334	0.002889923	no_overlap
GATA3.mod	set_size_0	0	1	34602	91	0.00262983	0.00262983	0.291911106	0.002889923	no_overlap
HAT1.mod	set_size_0	0	1	34602	83	0.002398636	0.002398636	0.266248591	0.002889923	no_overlap
HBP1.mod	set_size_0	0	1	34602	98	0.002832124	0.002832124	0.314365806	0.002889923	no_overlap
HDAC2.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
HDAC4.mod	set_size_0	0	1	34602	97	0.002803225	0.002803225	0.311157992	0.002889923	no_overlap
HIF1A.mod	set_size_0	0	1	34602	87	0.002514233	0.002514233	0.279079849	0.002889923	no_overlap
IKZF1.mod	set_size_0	0	1	34602	95	0.002745427	0.002745427	0.304742363	0.002889923	no_overlap
IRF7.mod	set_size_0	0	1	34602	97	0.002803225	0.002803225	0.311157992	0.002889923	no_overlap
IRF8.mod	set_size_0	0	1	34602	98	0.002832124	0.002832124	0.314365806	0.002889923	no_overlap
JUNB.mod	set_size_0	0	1	34602	94	0.002716527	0.002716527	0.301534549	0.002889923	no_overlap
KLF1.mod	set_size_0	0	1	34602	95	0.002745427	0.002745427	0.304742363	0.002889923	no_overlap
MAF.mod	set_size_0	0	1	34602	95	0.002745427	0.002745427	0.304742363	0.002889923	no_overlap
MEF2A.mod	set_size_0	0	1	34602	83	0.002398636	0.002398636	0.266248591	0.002889923	no_overlap
MLL.mod	set_size_0	0	1	34602	95	0.002745427	0.002745427	0.304742363	0.002889923	no_overlap
MORF4L2.mod	set_size_0	0	1	34602	92	0.002658729	0.002658729	0.29511892	0.002889923	no_overlap
MTA1.mod	set_size_0	0	1	34602	99	0.002861024	0.002861024	0.317573621	0.002889923	no_overlap
NAB1.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
NCOA3.mod	set_size_0	0	1	34602	91	0.00262983	0.00262983	0.291911106	0.002889923	no_overlap
NFATC3.mod	set_size_0	0	1	34602	93	0.002687628	0.002687628	0.298326735	0.002889923	no_overlap
NFKB1.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
PATZ1.mod	set_size_0	0	1	34602	94	0.002716527	0.002716527	0.301534549	0.002889923	no_overlap
PBX2.mod	set_size_0	0	1	34602	98	0.002832124	0.002832124	0.314365806	0.002889923	no_overlap
PHF1.mod	set_size_0	0	1	34602	93	0.002687628	0.002687628	0.298326735	0.002889923	no_overlap
PKNOX1.mod	set_size_0	0	1	34602	80	0.002311938	0.002311938	0.256625148	0.002889923	no_overlap
PNN.mod	set_size_0	0	1	34602	85	0.002456434	0.002456434	0.27266422	0.002889923	no_overlap
RBBP7.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
RBL2.mod	set_size_0	0	1	34602	88	0.002543132	0.002543132	0.282287663	0.002889923	no_overlap
RORC.mod	set_size_0	0	1	34602	94	0.002716527	0.002716527	0.301534549	0.002889923	no_overlap
RREB1.mod	set_size_0	0	1	34602	97	0.002803225	0.002803225	0.311157992	0.002889923	no_overlap
RUNX1.mod	set_size_0	0	1	34602	97	0.002803225	0.002803225	0.311157992	0.002889923	no_overlap
RUNX3.mod	set_size_0	0	1	34602	95	0.002745427	0.002745427	0.304742363	0.002889923	no_overlap
SKIL.mod	set_size_0	0	1	34602	67	0.001936248	0.001936248	0.214923562	0.002889923	no_overlap
SMAD3.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
SMAD7.mod	set_size_0	0	1	34602	95	0.002745427	0.002745427	0.304742363	0.002889923	no_overlap
SMARCC1.mod	set_size_0	0	1	34602	88	0.002543132	0.002543132	0.282287663	0.002889923	no_overlap
SMARCD2.mod	set_size_0	0	1	34602	97	0.002803225	0.002803225	0.311157992	0.002889923	no_overlap
SP1.mod	set_size_0	0	1	34602	100	0.002889923	0.002889923	0.320781435	0.002889923	no_overlap
STAT1.mod	set_size_0	0	1	34602	98	0.002832124	0.002832124	0.314365806	0.002889923	no_overlap
STAT2.mod	set_size_0	0	1	34602	97	0.002803225	0.002803225	0.311157992	0.002889923	no_overlap
STAT3.mod	set_size_0	0	1	34602	98	0.002832124	0.002832124	0.314365806	0.002889923	no_overlap
STAT4.mod	set_size_0	0	1	34602	93	0.002687628	0.002687628	0.298326735	0.002889923	no_overlap
STAT5B.mod	set_size_0	0	1	34602	87	0.002514233	0.002514233	0.279079849	0.002889923	no_overlap
STAT6.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
TAF2.mod	set_size_0	0	1	34602	94	0.002716527	0.002716527	0.301534549	0.002889923	no_overlap
TAF9.mod	set_size_0	0	1	34602	100	0.002889923	0.002889923	0.320781435	0.002889923	no_overlap
TBX21.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
TCF12.mod	set_size_0	0	1	34602	98	0.002832124	0.002832124	0.314365806	0.002889923	no_overlap
TCF7.mod	set_size_0	0	1	34602	91	0.00262983	0.00262983	0.291911106	0.002889923	no_overlap
TFAM.mod	set_size_0	0	1	34602	94	0.002716527	0.002716527	0.301534549	0.002889923	no_overlap
TOX.mod	set_size_0	0	1	34602	95	0.002745427	0.002745427	0.304742363	0.002889923	no_overlap
WHSC1L1.mod	set_size_0	0	1	34602	93	0.002687628	0.002687628	0.298326735	0.002889923	no_overlap
YY1.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
ZBTB7B.mod	set_size_0	0	1	34602	99	0.002861024	0.002861024	0.317573621	0.002889923	no_overlap
CD14.mod	set_size_0	0	1	34602	98	0.002832124	0.002832124	0.314365806	0.002889923	no_overlap
CD160.mod	set_size_0	0	1	34602	96	0.002774326	0.002774326	0.307950178	0.002889923	no_overlap
CD19.mod	set_size_0	0	1	34602	93	0.002687628	0.002687628	0.298326735	0.002889923	no_overlap
CD244.mod	set_size_0	0	1	34602	95	0.002745427	0.002745427	0.304742363	0.002889923	no_overlap
CD28.mod	set_size_0	0	1	34602	89	0.002572031	0.002572031	0.285495477	0.002889923	no_overlap
CD2.mod	set_size_0	0	1	34602	98	0.002832124	0.002832124	0.314365806	0.002889923	no_overlap
