	AFF1.mod	BAZ1A.mod	BCLAF1.mod	BTAF1.mod	CBFB.mod	CBX1.mod	CBX3.mod	CBX5.mod	CCNT2.mod	CHD3.mod	COPS2.mod	E2F1.mod	EED.mod	ELF4.mod	EOMES.mod	ETF1.mod	ETS2.mod	FLI1.mod	FOS.mod	FOXJ2.mod	FOXO3.mod	FOXP3.mod	FUBP1.mod	FUS.mod	GATA3.mod	HAT1.mod	HBP1.mod	HDAC2.mod	HDAC4.mod	HIF1A.mod	IKZF1.mod	IRF7.mod	IRF8.mod	JUNB.mod	KLF1.mod	MAF.mod	MEF2A.mod	MLL.mod	MORF4L2.mod	MTA1.mod	NAB1.mod	NCOA3.mod	NFATC3.mod	NFKB1.mod	PATZ1.mod	PBX2.mod	PHF1.mod	PKNOX1.mod	PNN.mod	RBBP7.mod	RBL2.mod	RORC.mod	RREB1.mod	RUNX1.mod	RUNX3.mod	SKIL.mod	SMAD3.mod	SMAD7.mod	SMARCC1.mod	SMARCD2.mod	SP1.mod	STAT1.mod	STAT2.mod	STAT3.mod	STAT4.mod	STAT5B.mod	STAT6.mod	TAF2.mod	TAF9.mod	TBX21.mod	TCF12.mod	TCF7.mod	TFAM.mod	TOX.mod	WHSC1L1.mod	YY1.mod	ZBTB7B.mod	CD14.mod	CD160.mod	CD19.mod	CD244.mod	CD28.mod	CD2.mod	CD33.mod	CD3E.mod	CD4.mod	CD5.mod	CD8A.mod	CD8B.mod	CTLA4.mod	CXCR1.mod	FASLG.mod	GNLY.mod	GZMA.mod	GZMB.mod	GZMK.mod	GZMM.mod	IL15RA.mod	IL27RA.mod	IL2RA.mod	IL2RB.mod	ITGB3.mod	KIR2DL1.mod	KIR2DS4.mod	KLRD1.mod	MPO.mod	NCAM1.mod	NKG7.mod	PRF1.mod	THBD.mod	TIGIT.mod
AFF1.mod	1	0.083333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0.081632653	0	0	0.011494253	0	0.309278351	0	0.010638298	0	0	0	0	0	0	0	0	0	0	0	0.010204082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.397959184	0.298969072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAZ1A.mod	0.086956522	1	0	0	0	0.021505376	0	0	0	0	0	0	0	0.052083333	0	0	0	0.43	0	0.010416667	0.103092784	0	0	0	0	0	0.153061224	0	0	0	0	0	0	0.095744681	0	0	0	0	0	0	0.166666667	0	0	0	0	0.193877551	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0.010204082	0	0.489795918	0	0.310344828	0.041666667	0	0	0	0	0	0	0	0	0	0.01010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072164948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115789474	0
BCLAF1.mod	0	0	1	0.122222222	0	0	0	0	0.022222222	0	0.113402062	0	0	0	0	0	0	0	0	0	0	0	0	0.075949367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413043478	0	0	0	0.010752688	0	0	0	0	0	0.011764706	0	0	0	0.010309278	0	0	0	0	0.010526316	0.022727273	0	0	0	0	0	0	0	0	0.191489362	0	0	0.040816327	0	0.031914894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTAF1.mod	0	0	0.126436782	1	0	0	0	0.010526316	0	0	0.020618557	0	0	0	0	0	0	0	0	0	0	0	0.086956522	0.17721519	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073684211	0.043478261	0.121212121	0	0	0	0	0.010638298	0	0.043010753	0	0.352941176	0.010416667	0	0	0	0	0	0	0.104166667	0	0.011363636	0	0	0	0	0	0	0	0	0.244680851	0	0	0.204081633	0	0.021276596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBFB.mod	0	0	0	0	1	0	0	0	0	0.011363636	0.113402062	0	0.020408163	0	0	0	0	0	0	0	0	0.02247191	0.010869565	0	0	0	0	0	0	0	0.031578947	0	0	0	0	0.052631579	0	0.010526316	0	0.01010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010638298	0.03	0	0.112244898	0	0.042553191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022222222	0	0	0	0	0	0	0	0	0	0.02173913	0	0	0	0	0	0	0	0	0	0	0
CBX1.mod	0	0.020833333	0	0	0	1	0	0	0	0	0	0	0	0.083333333	0	0	0	0.16	0	0.072916667	0.340206186	0	0	0	0	0	0.030612245	0	0	0	0	0	0	0.170212766	0	0	0	0	0	0	0.40625	0	0	0	0	0.275510204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0.153061224	0	0	0.510416667	0	0	0	0	0	0	0	0	0.0625	0.101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06185567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494736842	0
CBX3.mod	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.119565217	0	0	0	0	0	0	0	0	0.325301205	0	0.114583333	0.051546392	0	0	0	0	0	0	0	0.084337349	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0.06185567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020408163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBX5.mod	0	0	0	0.011111111	0	0	0	1	0	0	0	0	0.408163265	0	0	0	0	0	0	0	0	0	0.010869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157894737	0	0.01010101	0	0	0	0	0.276595745	0	0.032258065	0	0.035294118	0.010416667	0	0	0	0	0	0	0.010416667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNT2.mod	0	0	0.022988506	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012658228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096774194	0	0	0	0.011363636	0	0	0	0	0	0	0	0.329545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322580645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD3.mod	0	0	0	0	0.01	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.134831461	0	0	0.296703297	0	0	0	0	0	0.263157895	0	0	0	0	0.242105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272727273	0.085106383	0	0	0	0	0	0	0	0	0	0	0	0	0.010752688	0	0	0	0	0	0	0.527472527	0	0	0	0	0	0	0	0	0	0.483146067	0.102040816	0	0.340206186	0	0.28125	0.011111111	0.010869565	0.177777778	0	0	0	0	0	0.034090909	0	0	0	0.043478261	0	0	0	0	0	0	0	0	0	0	0.042553191
