row.names.cor.mat.	AUC
AUC	AUC	1
TTLL2	TTLL2	0.934196595451043
CCL5	CCL5	0.93295937789062
KLRC3	KLRC3	0.92927728728246
HS.566669	HS.566669	0.928520801759783
LOC651192	LOC651192	0.902726232106313
EOMES	EOMES	0.900786161322733
HS.572013	HS.572013	0.898140707854295
LOC728470	LOC728470	0.883172474950341
FCRLB	FCRLB	0.882306735340447
CDC27	CDC27	0.87697599268045
LOC728032	LOC728032	0.872943839320053
LOC652185	LOC652185	0.872935787999879
ZPBP2	ZPBP2	0.870566465814087
GAGE12D	GAGE12D	0.861147530073163
ZNF410	ZNF410	0.860677113545397
CA6	CA6	0.860527625092841
GPR133	GPR133	0.860005708449714
ECT2	ECT2	0.859671003546249
MCART6	MCART6	0.857979464903521
LOC652677	LOC652677	0.856547419248179
CNTNAP5	CNTNAP5	0.854709009525993
LOC100130017	LOC100130017	0.851958262732768
HS.560343	HS.560343	0.850954967923291
OR51B4	OR51B4	0.849428208332957
EPS15	EPS15	0.848596157431888
LOC643093	LOC643093	0.848546914438502
ATP2B4	ATP2B4	0.846952080212411
LOC100132203	LOC100132203	0.845038000878035
LOC642313	LOC642313	0.844115035771472
GNRHR	GNRHR	0.844106667736752
FRMPD4	FRMPD4	0.841102375771098
LOC343384	LOC343384	0.840640211173237
COMP	COMP	0.835628041745087
ADAM3A	ADAM3A	0.833846158025273
HS.525976	HS.525976	0.831490539493909
MS4A13	MS4A13	0.830966354748421
CD5L	CD5L	0.830757300000868
TBN	TBN	0.827957875989326
NKG7	NKG7	0.825825948317531
LOC729353	LOC729353	0.82420595391059
LOC642656	LOC642656	0.82303656170969
HS.557039	HS.557039	0.820849585450221
ATXN1	ATXN1	0.820111296513478
SH2D1A	SH2D1A	0.820099732208222
LBXCOR1	LBXCOR1	0.820046365495354
HS.541710	HS.541710	0.817188384917795
HS.578161	HS.578161	0.815270342017878
GZMK	GZMK	0.81346159119711
C17ORF44	C17ORF44	0.813179169453073
LOC100131199	LOC100131199	0.812653895786988
ARHGAP6	ARHGAP6	0.812527661018816
LOC100188949	LOC100188949	0.812291121023207
HSD17B7P2	HSD17B7P2	0.812102181038301
TMEM44	TMEM44	0.81202995071348
LOC644386	LOC644386	0.810868648658192
EMCN	EMCN	0.80819141470467
POU6F1	POU6F1	0.806504579818924
USH1C	USH1C	0.806489187170501
HS.543175	HS.543175	0.805844959999621
HS.525171	HS.525171	0.8033678035187
LOC100131794	LOC100131794	0.802402450743823
HS.571502	HS.571502	0.802123880636715
LOC389607	LOC389607	0.80038015477912
PPM2C	PPM2C	0.799776000444456
LAG3	LAG3	0.79816313291967
LOC649497	LOC649497	0.797421999429924
BIRC8	BIRC8	0.796511799559311
SAMD3	SAMD3	0.794794953905436
LOC100129264	LOC100129264	0.793256685501017
